total_tokes,max_seqlen,batch_size,Atten_qkv_time,Atten_flash_time,Atten_linear_time,total_time
32768,1434,38,57473.91891479492,6475.776195526123,20562.944412231445,84512.63952255249
32768,1428,42,58926.97525024414,6479.872226715088,21192.703247070312,86599.55072402954
32768,1451,41,58081.214904785156,6699.007987976074,20528.127670288086,85308.35056304932
32768,1454,39,57991.16897583008,6760.191917419434,20477.02407836914,85228.38497161865
32768,1247,41,57853.95050048828,6158.336162567139,21190.55938720703,85202.84605026245
32768,1663,40,57460.73532104492,6626.143932342529,20525.951385498047,84612.8306388855
32768,1601,43,57761.79122924805,6561.791896820068,20519.935607910156,84843.51873397827
32768,1182,41,58354.68673706055,6362.112045288086,20760.576248168945,85477.37503051758
32768,1268,41,58301.185607910156,6576.0321617126465,21156.864166259766,86034.08193588257
32768,1706,41,58524.67346191406,6920.095920562744,20823.040008544922,86267.80939102173
32768,1802,38,58746.87957763672,7217.023849487305,20858.87908935547,86822.78251647949
32768,1578,39,58460.15930175781,6648.831844329834,21120.0008392334,86228.99198532104
32768,1332,38,58323.96697998047,6881.279945373535,20494.335174560547,85699.58209991455
32768,1703,38,58764.28985595703,7072.768211364746,20769.792556762695,86606.85062408447
32768,1395,38,58714.111328125,6905.856132507324,21197.824478149414,86817.79193878174
32768,1402,41,57871.360778808594,6419.456005096436,20373.504638671875,84664.3214225769
32768,1504,39,57572.06344604492,6651.80778503418,20266.111373901367,84489.98260498047
32768,1440,38,57137.088775634766,6778.111934661865,20472.83172607422,84388.03243637085
32768,1201,41,58552.127838134766,6342.591762542725,20948.06480407715,85842.78440475464
32768,1622,38,58525.47073364258,6955.904006958008,20344.831466674805,85826.20620727539
32768,1288,37,58391.265869140625,6985.727787017822,20774.911880493164,86151.90553665161
32768,1497,43,59452.25524902344,6392.831802368164,21367.584228515625,87212.67127990723
32768,1423,39,58908.67233276367,6795.263767242432,20583.423614501953,86287.35971450806
32768,1236,40,58654.5295715332,6507.296085357666,20806.655883789062,85968.48154067993
32768,1417,38,59033.599853515625,7094.272136688232,21538.816452026367,87666.68844223022
32768,1258,41,58168.54476928711,6478.623867034912,20404.224395751953,85051.39303207397
32768,1481,40,58733.56628417969,6634.496212005615,20724.735260009766,86092.79775619507
32768,1365,42,58174.17526245117,6273.824214935303,21392.383575439453,85840.38305282593
32768,1325,40,58465.27862548828,6531.040191650391,20413.440704345703,85409.75952148438
32768,1547,37,58391.55197143555,7060.480117797852,20370.431900024414,85822.46398925781
32768,1358,40,57896.9612121582,6472.640037536621,20638.71955871582,85008.32080841064
32768,1394,40,58556.41555786133,6627.327919006348,21138.399124145508,86322.14260101318
32768,1438,42,58694.881439208984,6358.11185836792,20488.191604614258,85541.18490219116
32768,1494,42,58595.32928466797,6466.559886932373,20732.864379882812,85794.75355148315
32768,1306,39,58964.99252319336,6772.736072540283,21289.920806884766,87027.64940261841
32768,1260,40,59136.00158691406,6523.903846740723,20809.728622436523,86469.63405609131
32768,1261,42,59054.080963134766,6322.175979614258,20887.55226135254,86263.80920410156
32768,1373,44,58819.583892822266,6264.832019805908,20901.887893676758,85986.30380630493
32768,1344,45,58084.129333496094,5948.416233062744,20765.504837036133,84798.05040359497
32768,1375,38,58946.55990600586,6665.215969085693,20564.992904663086,86176.76877975464
32768,1255,37,58996.734619140625,6850.560188293457,21180.416107177734,87027.71091461182
32768,1563,36,58682.369232177734,7121.856212615967,20263.935089111328,86068.16053390503
32768,1521,40,58098.68621826172,6648.831844329834,20946.752548217773,85694.27061080933
32768,1271,40,58986.209869384766,6553.599834442139,21653.50341796875,87193.31312179565
32768,1323,39,58836.99035644531,6569.759845733643,20644.86312866211,86051.61333084106
32768,1388,38,59213.82522583008,6886.40022277832,20847.61619567871,86947.84164428711
32768,1376,43,59285.31265258789,6326.272010803223,21507.871627807617,87119.45629119873
32768,1407,39,59144.126892089844,6732.800006866455,20756.479263305664,86633.40616226196
32768,1532,41,58265.663146972656,6581.247806549072,20710.399627685547,85557.31058120728
32768,1354,40,59035.518646240234,6599.679946899414,21439.48745727539,87074.68605041504
