total_tokes,max_seqlen,batch_size,Atten_qkv_time,Atten_flash_time,Atten_linear_time,total_time
8192,1163,9,14555.135726928711,1728.384017944336,4947.968006134033,21231.48775100708
8192,1481,9,14831.456184387207,1874.9439716339111,5039.103984832764,21745.504140853882
8192,1085,10,14830.368041992188,1616.8960332870483,5034.8801612854,21482.144236564636
8192,1375,9,14689.279556274414,1738.6879920959473,4986.879825592041,21414.847373962402
8192,1343,9,14682.111740112305,1769.4720029830933,4939.7759437561035,21391.3596868515
8192,1396,8,14493.568420410156,1833.8559865951538,4806.6558837890625,21134.080290794373
8192,1386,9,14152.704238891602,1721.343994140625,4862.912178039551,20736.960411071777
8192,1183,10,14125.984191894531,1549.3119955062866,4764.671802520752,20439.96798992157
8192,1424,10,13981.696128845215,1590.2719497680664,4721.663951873779,20293.63203048706
8192,1127,10,13855.744361877441,1564.6719932556152,4676.383972167969,20096.800327301025
8192,1118,11,13632.672309875488,1412.2560024261475,4556.79988861084,19601.728200912476
8192,1084,10,13456.512451171875,1487.8720045089722,4598.78396987915,19543.168425559998
8192,1356,9,13536.255836486816,1725.4400253295898,4599.743843078613,19861.43970489502
8192,1112,11,13536.224365234375,1403.9039611816406,4596.928119659424,19537.05644607544
8192,1474,9,13606.911659240723,1672.0000505447388,4678.656101226807,19957.567811012268
8192,1524,8,13775.872230529785,1807.360053062439,4677.631855010986,20260.86413860321
8192,1359,11,13776.896476745605,1522.6880311965942,4678.656101226807,19978.240609169006
8192,1196,9,13774.720191955566,1591.2959575653076,4675.583839416504,20041.599988937378
8192,1405,9,13722.623825073242,1678.3360242843628,4635.647773742676,20036.60762310028
8192,1361,9,13501.440048217773,1620.8000183105469,4517.888069152832,19640.128135681152
8192,1243,9,13346.816062927246,1596.4159965515137,4556.79988861084,19500.0319480896
8192,1333,10,13375.231742858887,1497.0879554748535,4517.888069152832,19390.207767486572
8192,1521,9,13372.415542602539,1709.05601978302,4636.672019958496,19718.143582344055
8192,1074,9,13563.80844116211,1556.480050086975,4560.895919799805,19681.18441104889
8192,1921,9,13459.456443786621,1829.8879861831665,4596.831798553467,19886.176228523254
8192,1148,10,13612.031936645508,1499.0719556808472,4678.431987762451,19789.535880088806
8192,1282,8,13818.880081176758,1788.9280319213867,4718.592166900635,20326.40027999878
8192,1010,10,13856.767654418945,1471.392035484314,4677.631855010986,20005.791544914246
8192,1427,10,13671.168327331543,1574.9119520187378,4597.760200500488,19843.84047985077
8192,1261,8,13485.055923461914,1716.223955154419,4557.82413482666,19759.104013442993
8192,1230,9,13508.607864379883,1652.735948562622,4636.672019958496,19798.015832901
8192,1394,8,13654.01554107666,1746.9439506530762,4636.928081512451,20037.887573242188
8192,1231,10,13886.176109313965,1662.7520322799683,4861.95182800293,20410.879969596863
8192,1141,10,14420.991897583008,1594.3679809570312,4938.752174377441,20954.11205291748
8192,1341,9,14800.895690917969,1826.8159627914429,5081.088066101074,21708.799719810486
8192,1520,10,15040.512084960938,1745.8239793777466,5129.216194152832,21915.552258491516
8192,1236,10,16104.448318481445,1811.295986175537,5525.279998779297,23441.02430343628
8192,1329,10,16576.51138305664,1887.0079517364502,5563.392162322998,24026.91149711609
8192,1272,10,16348.159790039062,1764.3519639968872,5446.656227111816,23559.167981147766
8192,1622,8,15827.775955200195,2070.528030395508,5231.359958648682,23129.663944244385
8192,1358,10,15167.488098144531,1688.5759830474854,5080.895900726318,21936.959981918335
8192,1521,10,15030.112266540527,1712.1280431747437,5127.13623046875,21869.37654018402
8192,1381,10,15243.264198303223,1750.0159740447998,5186.592102050781,22179.872274398804
8192,1195,10,16577.53562927246,1860.6079816818237,5618.688106536865,24056.83171749115
8192,1299,9,16565.248489379883,1928.1920194625854,5561.344146728516,24054.784655570984
8192,1304,9,16299.007415771484,1922.0479726791382,5391.359806060791,23612.415194511414
8192,1035,10,15326.208114624023,1610.751986503601,5033.919811248779,21970.879912376404
8192,1269,9,14831.616401672363,1735.6799840927124,5031.936168670654,21599.23255443573
8192,1565,10,15001.69563293457,1760.256052017212,5130.239963531494,21892.191648483276
8192,1061,11,16272.224426269531,1624.959945678711,5566.463947296143,23463.648319244385
8192,1430,10,16575.48713684082,1933.3120584487915,5619.455814361572,24128.255009651184
8192,2054,7,16487.58316040039,2520.8959579467773,5449.728012084961,24458.20713043213
8192,1154,9,15421.728134155273,1732.7359914779663,4988.800048828125,22143.264174461365
8192,1063,10,14454.784393310547,1549.3119955062866,4850.6879806518555,20854.78436946869
8192,1371,8,14211.071968078613,1861.407995223999,4807.487964630127,20879.96792793274
8192,1105,9,14153.727531433105,1658.8799953460693,4804.60786819458,20617.215394973755
8192,986,11,14348.287582397461,1488.8960123062134,4893.695831298828,20730.879426002502
8192,1490,8,14414.848327636719,1913.7920141220093,4894.432067871094,21223.07240962982
8192,1021,10,14414.848327636719,1559.391975402832,4892.672061920166,20866.912364959717
8192,915,12,14655.488014221191,1424.3839979171753,5153.728008270264,21233.60002040863
8192,1169,11,15895.551681518555,1667.072057723999,5346.303939819336,22908.92767906189
8192,1381,10,15732.735633850098,1925.0240325927734,5245.02420425415,22902.78387069702
8192,1294,10,15165.43960571289,1675.2640008926392,4989.952087402344,21830.655694007874
8192,1012,12,14554.112434387207,1397.760033607483,4807.680130004883,20759.552597999573
8192,1541,8,14007.295608520508,1856.511950492859,4678.49588394165,20542.303442955017
8192,1292,10,13777.91976928711,1556.3199520111084,4677.631855010986,20011.871576309204
8192,969,11,13721.599578857422,1425.1840114593506,4637.695789337158,19784.47937965393
8192,1148,9,13656.0640335083,1603.5840511322021,4636.672019958496,19896.320104599
8192,1283,9,13688.83228302002,1646.399974822998,4676.735877990723,20011.96813583374
8192,1275,10,13775.872230529785,1508.4160566329956,4677.631855010986,19961.920142173767
8192,1243,9,13775.872230529785,1613.7919425964355,4677.631855010986,20067.296028137207
8192,1188,9,13780.991554260254,1642.4959897994995,4676.608085632324,20100.095629692078
8192,1059,10,13775.872230529785,1534.0160131454468,4678.49588394165,19988.384127616882
8192,1252,9,13720.512390136719,1660.9280109405518,4637.695789337158,20019.13619041443
8192,1249,10,13588.543891906738,1485.8239889144897,4595.712184906006,19670.080065727234
8192,1243,10,13595.871925354004,1577.9839754104614,4636.672019958496,19810.52792072296
8192,1406,9,13839.360237121582,1705.9839963912964,4761.792182922363,20307.13641643524
8192,1178,9,14095.359802246094,1675.2640008926392,4804.60786819458,20575.231671333313
8192,1337,8,14346.240043640137,1838.0800485610962,4937.727928161621,21122.048020362854
8192,1140,9,14854.144096374512,1775.4559516906738,5079.872131347656,21709.47217941284
8192,1200,11,15900.639533996582,1636.3519430160522,5508.096218109131,23045.087695121765
8192,1058,11,16756.736755371094,1732.6079607009888,5621.695995330811,24111.040711402893
8192,1219,10,16550.912857055664,1874.9439716339111,5446.368217468262,23872.225046157837
8192,1090,11,15605.759620666504,1569.7920322418213,5031.936168670654,22207.48782157898
8192,1259,9,14567.328453063965,1732.6079607009888,4848.639965057373,21148.576378822327
8192,1062,10,14211.071968078613,1511.423945426941,4804.60786819458,20527.103781700134
8192,1714,9,14309.215545654297,1861.631989479065,4893.695831298828,21064.54336643219
8192,1194,11,14646.271705627441,1623.2960224151611,5031.936168670654,21301.503896713257
8192,1222,9,15681.344032287598,1923.0719804763794,5404.672145843506,23009.088158607483
8192,1048,11,16754.688262939453,1660.9280109405518,5637.087821960449,24052.704095840454
8192,1290,10,16556.032180786133,1840.127944946289,5501.952171325684,23898.112297058105
8192,1072,9,16091.968536376953,1760.159969329834,5287.936210632324,23140.06471633911
8192,1078,10,15138.815879821777,1582.8479528427124,4984.831809997559,21706.49564266205
8192,1238,9,14850.336074829102,1837.3119831085205,5084.159851074219,21771.80790901184
8192,1281,9,15293.439865112305,1802.0800352096558,5232.384204864502,22327.904105186462
8192,1528,9,16175.104141235352,1978.3680438995361,5515.26403427124,23668.736219406128
8192,1142,10,16574.464797973633,1804.2880296707153,5561.344146728516,23940.096974372864
8192,1470,9,16317.472457885742,1943.552017211914,5391.327857971191,23652.352333068848
8192,1329,10,15523.839950561523,1703.935980796814,5080.063819885254,22307.83975124359
8192,1296,10,14451.711654663086,1619.968056678772,4761.600017547607,20833.279728889465
