total_tokes,max_seqlen,batch_size,Atten_qkv_time,Atten_flash_time,Atten_linear_time,total_time
16384,1480,20,26696.575164794922,3172.352075576782,9155.584335327148,39024.51157569885
16384,1334,19,26595.327377319336,2946.9120502471924,9040.89641571045,38583.13584327698
16384,1278,21,26915.84014892578,2797.5680828094482,9093.119621276855,38806.527853012085
16384,1570,20,27256.832122802734,3027.872085571289,9191.424369812012,39476.128578186035
16384,1200,21,27501.567840576172,2788.288116455078,9093.119621276855,39382.975578308105
16384,1148,22,27122.976303100586,2692.095994949341,9066.495895385742,38881.56819343567
16384,1206,19,27009.824752807617,2907.1359634399414,8981.727600097656,38898.688316345215
16384,1259,18,26653.696060180664,3035.360097885132,8912.896156311035,38601.95231437683
16384,1182,20,26424.320220947266,2809.727907180786,8860.671997070312,38094.720125198364
16384,1307,19,26547.199249267578,2935.6160163879395,9012.224197387695,38495.03946304321
16384,1394,19,26782.7205657959,3051.4559745788574,9092.096328735352,38926.27286911011
16384,1678,19,26539.00718688965,3206.1119079589844,9012.224197387695,38757.34329223633
16384,1462,20,26170.080184936523,3007.488012313843,9171.744346618652,38349.31254386902
16384,989,23,27867.136001586914,2806.943893432617,10060.799598693848,40734.87949371338
16384,1317,20,29849.79248046875,3154.9439430236816,9776.127815246582,42780.864238739014
16384,1452,20,28572.67189025879,3091.360092163086,9683.967590332031,41347.999572753906
16384,1240,20,29006.847381591797,3052.3838996887207,9778.176307678223,41837.40758895874
16384,1196,19,29076.480865478516,3157.855987548828,9749.504089355469,41983.84094238281
16384,1130,21,29039.615631103516,2886.6560459136963,9974.783897399902,41901.055574417114
16384,1120,21,29306.880950927734,2945.024013519287,10042.367935180664,42294.272899627686
16384,990,22,29042.688369750977,2926.5921115875244,10060.67180633545,42029.95228767395
16384,1383,19,29034.208297729492,3402.751922607422,10061.823844909668,42498.78406524658
16384,1592,19,28748.80027770996,3324.8000144958496,9686.783790588379,41760.38408279419
16384,1800,16,28276.735305786133,3830.7840824127197,9597.887992858887,41705.40738105774
16384,1346,19,27506.68716430664,3160.0000858306885,9420.543670654297,40087.230920791626
16384,1422,19,27399.168014526367,3163.872003555298,9181.183815002441,39744.22383308411
16384,1335,20,26654.65545654297,2988.032102584839,9169.919967651367,38812.607526779175
16384,1213,21,27249.664306640625,2867.1998977661133,9253.888130187988,39370.75233459473
16384,1389,20,27194.303512573242,2935.807943344116,9171.808242797852,39301.91969871521
16384,1403,19,26991.615295410156,3118.943929672241,9252.960205078125,39363.51943016052
16384,1260,20,27017.215728759766,2890.752077102661,9170.111656188965,39078.07946205139
16384,1126,20,26855.424880981445,2918.4000492095947,9252.863883972168,39026.68881416321
16384,1519,21,26892.41600036621,2876.415967941284,9171.968460083008,38940.8004283905
16384,1312,20,26815.488815307617,3018.752098083496,9238.52825164795,39072.76916503906
16384,1123,21,26392.576217651367,2830.336093902588,9252.863883972168,38475.77619552612
16384,1502,19,26887.168884277344,3192.8319931030273,9420.80020904541,39500.80108642578
16384,1347,21,27374.591827392578,2922.4960803985596,9508.864402770996,39805.952310562134
16384,1476,18,27698.17543029785,3421.1840629577637,9688.063621520996,40807.42311477661
16384,1233,18,27974.655151367188,3320.8320140838623,9778.176307678223,41073.66347312927
16384,1220,22,28333.824157714844,2992.1278953552246,9777.152061462402,41103.10411453247
16384,1323,20,28356.319427490234,3064.8961067199707,9686.016082763672,41107.23161697388
16384,1271,17,28210.176467895508,3449.631929397583,9775.103569030762,41434.91196632385
16384,1153,22,28820.480346679688,2902.0159244537354,9779.071807861328,41501.56807899475
16384,1078,21,29289.472579956055,2944.000005722046,9826.30443572998,42059.77702140808
16384,1801,19,28996.60873413086,3605.504035949707,9962.495803833008,42564.608573913574
16384,1638,17,29351.93634033203,3615.744113922119,10064.800262451172,43032.48071670532
16384,1443,19,28499.967575073242,3127.295970916748,9779.168128967285,41406.431674957275
16384,1159,21,28206.079483032227,3035.0399017333984,9688.063621520996,40929.18300628662
16384,1440,20,27939.775466918945,3126.271963119507,9596.927642822266,40662.97507286072
16384,1423,21,27925.504684448242,2993.151903152466,9507.840156555176,40426.496744155884
16384,1199,19,27394.0486907959,3004.415988922119,9336.607933044434,39735.07261276245
16384,1404,20,27086.84730529785,3060.767889022827,9422.719955444336,39570.335149765015
16384,1515,19,27138.04817199707,3091.4559364318848,9255.711555480957,39485.21566390991
16384,1250,21,27076.89666748047,2915.328025817871,9337.85629272461,39330.08098602295
16384,1246,21,27194.175720214844,3062.78395652771,9363.519668579102,39620.479345321655
16384,1327,21,26518.463134765625,2923.520088195801,9337.056159973145,38779.03938293457
16384,1554,20,27102.20718383789,3010.335922241211,9336.031913757324,39448.575019836426
16384,1459,20,27119.61555480957,3026.9439220428467,9338.879585266113,39485.43906211853
16384,1308,20,26956.80046081543,3060.544013977051,9422.687530517578,39440.03200531006
16384,1244,21,27281.408309936523,2991.1038875579834,9507.840156555176,39780.35235404968
16384,1075,20,27263.967514038086,3007.488012313843,9603.072166442871,39874.5276927948
16384,1313,21,27321.34437561035,2875.391960144043,9601.02367401123,39797.760009765625
16384,1494,20,27886.592864990234,3132.416009902954,9781.15177154541,40800.1606464386
16384,1161,21,28004.352569580078,2992.1278953552246,9686.944007873535,40683.42447280884
16384,1192,20,28013.568878173828,3154.9439430236816,9595.904350280762,40764.41717147827
16384,1470,20,27936.735153198242,3123.0719089508057,9775.103569030762,40834.91063117981
16384,1007,20,28608.51287841797,3011.5840435028076,9871.359825134277,41491.456747055054
16384,1640,19,28735.488891601562,3477.504014968872,9942.015647888184,42155.00855445862
16384,1217,20,28909.568786621094,3268.6080932617188,9710.592269897461,41888.76914978027
16384,2206,17,28387.264251708984,3747.83992767334,9510.784149169922,41645.888328552246
16384,1600,21,28374.01580810547,2979.840040206909,9799.67975616455,41153.53560447693
16384,1233,21,29316.09535217285,2885.632038116455,9928.704261779785,42130.43165206909
16384,1029,22,28879.871368408203,2783.2319736480713,9686.016082763672,41349.119424819946
16384,1262,20,28025.69580078125,2992.1278953552246,9583.616256713867,40601.43995285034
16384,1181,21,27741.024017333984,2896.672010421753,9594.880104064941,40232.57613182068
16384,1359,19,27549.535751342773,3142.656087875366,9595.808029174805,40287.999868392944
16384,1348,21,27581.40754699707,2937.8559589385986,9506.5279006958,40025.79140663147
16384,1239,19,27262.975692749023,3046.3359355926514,9419.77596282959,39729.087591171265
16384,1705,19,27024.09553527832,3133.4400177001953,9419.77596282959,39577.311515808105
16384,1315,20,27032.575607299805,2975.7440090179443,9419.967651367188,39428.28726768494
16384,1253,19,27048.959732055664,3105.7920455932617,9334.783554077148,39489.535331726074
16384,1228,22,26901.504516601562,2741.2478923797607,9421.82445526123,39064.576864242554
16384,1256,20,27000.831604003906,3030.0159454345703,9534.463882446289,39565.311431884766
16384,1249,22,27494.400024414062,2766.848087310791,9579.520225524902,39840.768337249756
16384,1484,19,27397.119522094727,3182.5919151306152,9507.840156555176,40087.55159378052
16384,1298,19,26973.18458557129,3051.5201091766357,9598.75202178955,39623.456716537476
16384,1357,21,27941.8888092041,2940.1919841766357,9779.135704040527,40661.216497421265
16384,1401,19,27651.071548461914,3167.232036590576,9596.927642822266,40415.231227874756
16384,1599,17,27846.656799316406,3510.0479125976562,9779.040336608887,41135.74504852295
16384,1171,19,28212.223052978516,3164.9599075317383,9777.152061462402,41154.335021972656
16384,1064,21,28407.712936401367,2911.2319946289062,9777.152061462402,41096.096992492676
16384,1397,21,28405.759811401367,2975.7440090179443,9684.991836547852,41066.49565696716
16384,1163,20,28333.8565826416,3022.847890853882,9686.016082763672,41042.720556259155
16384,1428,22,28552.19268798828,2974.4958877563477,9736.191749572754,41262.88032531738
16384,1282,20,28462.047576904297,3075.040102005005,9595.904350280762,41132.99202919006
16384,1763,19,28638.944625854492,3404.7679901123047,9595.904350280762,41639.61696624756
16384,1187,21,28392.288208007812,2958.336114883423,9671.680450439453,41022.30477333069
16384,1281,21,29171.71287536621,3046.112060546875,9832.511901855469,42050.336837768555
16384,1275,22,28867.584228515625,2815.999984741211,9769.696235656738,41453.280448913574
16384,1551,18,28305.408477783203,3347.4559783935547,9694.208145141602,41347.07260131836
